Pro Division
1. Scott Kimbrow
2. Jake Luther
3. Nick Terrell
4. Mike Braun
5. Aubrey Cundall
6. Jesse Olsen
7. Skyler Gragg
8. Patrick Cantrell
9. Matthew Wykoff
10. Bradley Alvis
11. Thomas Clawson
12. Justin Hall7
13. Nathan Sides
14. Andrew Gajdarik
15. Kevin Madyda
16. Aaron Meyers
17. Scott Rister
18. Darren Ruthford

Amateur Division
1. Daniel R Hall
2. Mitch Buenaventura
3. Tony Caicedo
4. Chris Krause
5. Carsten Path
6. Matthew Markley
7. Bob LinDell
8. Christopher Pierro
9. Jarod Pettit
10. Richard Costanza
11. Shane Brown3
12. Landon Orr
13. Michael Doyon
14. Clarence Rosa
15. Mauricio Marquez-Ramos
16. Kelvin Collado
17. Douglas Jerum
