Pro Division
1. Scott Kimbrow
2. Aubrey Cundall
3. Justin Hall7
4. Aaron Meyers
5. Jake Luther
6. Daniel R Hall
7. Darren Ruthford
8. Andrew Gajdarik
9. Kevin Madyda
10. Matthew Wykoff
11. Mike Braun
12. Patrick Cantrell
13. Nick Terrell
14. Thomas Clawson
15. Bradley Alvis
16. Nathan Sides
17. Mitch Buenaventura
18. Jesse Olsen
19. Christian Gritsko
20. Hector Collazo3

Amateur Division
1. Kevin Hayes III
2. Skyler Gragg
3. Tony Caicedo
4. Bob LinDell
5. Chris Krause
6. Landon Orr
7. Michael Doyon
8. Parker Merrill
9. Douglas Jerum
10. Carsten Path
11. Kelvin Collado
12. Shane Brown3
13. Matthew Markley
14. Clarence Rosa
15. Richard Costanza
16. Jarod Pettit
17. Chris Wells2
18. Patrick Ripley
19. Chris Genore
20. Mark Agee
